Run,Assay Type,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_store_temp,Sample Name,Sample_name,SRA Study,temp
DRR711720,AMPLICON,246,329358,SAMD01601956,MIMS.me.miscellaneous,274568,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691741,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0023,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601956,HS3_S_0023,DRP017300,30
DRR711722,AMPLICON,246,217234,SAMD01601958,MIMS.me.miscellaneous,210186,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691743,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0025,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01601958,HS3_S_0025,DRP017300,30
DRR711724,AMPLICON,246,261013,SAMD01601960,MIMS.me.miscellaneous,236586,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691745,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0027,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:58:00Z,1,-20,SAMD01601960,HS3_S_0027,DRP017300,30
DRR711729,AMPLICON,246,299071,SAMD01601965,MIMS.me.miscellaneous,259210,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691750,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0032,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601965,HS3_S_0032,DRP017300,30
DRR711730,AMPLICON,246,84351,SAMD01601966,MIMS.me.miscellaneous,145697,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691751,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0033,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:05:00Z,1,-20,SAMD01601966,HS3_S_0033,DRP017300,30
DRR711731,AMPLICON,246,189099,SAMD01601967,MIMS.me.miscellaneous,194257,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691752,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0034,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01601967,HS3_S_0034,DRP017300,30
DRR711737,AMPLICON,246,286725,SAMD01601973,MIMS.me.miscellaneous,249908,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691758,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0040,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01601973,HS3_S_0040,DRP017300,30
DRR711739,AMPLICON,246,243057,SAMD01601975,MIMS.me.miscellaneous,228040,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691760,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0042,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:01:00Z,1,-20,SAMD01601975,HS3_S_0042,DRP017300,30
DRR711740,AMPLICON,246,331561,SAMD01601976,MIMS.me.miscellaneous,281192,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691761,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0043,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01601976,HS3_S_0043,DRP017300,30
DRR711743,AMPLICON,246,383371,SAMD01601979,MIMS.me.miscellaneous,310097,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691764,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0046,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:58:00Z,1,-20,SAMD01601979,HS3_S_0046,DRP017300,30
DRR711747,AMPLICON,246,316574,SAMD01601983,MIMS.me.miscellaneous,273439,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691768,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0050,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01601983,HS3_S_0050,DRP017300,30
DRR711750,AMPLICON,246,534467,SAMD01601986,MIMS.me.miscellaneous,398161,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691771,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0053,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01601986,HS3_S_0053,DRP017300,30
